POI_ID,ADDRESS,"﻿""DESCRIPTION""",NAME,GeoJSON,geo_point_2d
7848,,Village,APPLETON,"{""coordinates"": [-76.12501413145823, 45.18203141138885], ""type"": ""Point""}","45.18203141138885,-76.12501413145823"
7849,,Village,MURVALE,"{""coordinates"": [-76.65192487157267, 44.359717183585815], ""type"": ""Point""}","44.359717183585815,-76.65192487157267"
8124,,Village,FRANKTOWN,"{""coordinates"": [-76.0610144376798, 45.04103304621339], ""type"": ""Point""}","45.04103304621339,-76.0610144376798"
7156,,Village,CLAREVIEW,"{""coordinates"": [-77.09589400997335, 44.506467395918534], ""type"": ""Point""}","44.506467395918534,-77.09589400997335"
8039,,Village,OLDEN,"{""coordinates"": [-76.77137810965718, 44.73906262618233], ""type"": ""Point""}","44.73906262618233,-76.77137810965718"
7158,,Village,STRATHCONA,"{""coordinates"": [-76.90418466195658, 44.30414381159832], ""type"": ""Point""}","44.30414381159832,-76.90418466195658"
7755,1046 PRINCESS ST,Bus Transfer Station,KINGSTON CENTRE TRANSFER POINT,"{""coordinates"": [-76.5168256117387, 44.24199919694075], ""type"": ""Point""}","44.24199919694075,-76.5168256117387"
7466,1175 JOHN COUNTER BLVD,Bus Station,KINGSTON BUS TERMINAL,"{""coordinates"": [-76.50600749449667, 44.26007230298087], ""type"": ""Point""}","44.26007230298087,-76.50600749449667"
7141,303 YORK ST,Washroom,KINGSTON MEMORIAL CENTRE WASHROOM,"{""coordinates"": [-76.49937995486277, 44.23937069774236], ""type"": ""Point""}","44.23937069774236,-76.49937995486277"
8017,2993 2 HWY,Washroom,GRASS CREEK PARK WASHROOM,"{""coordinates"": [-76.31400731747587, 44.29643445247446], ""type"": ""Point""}","44.29643445247446,-76.31400731747587"
7142,216 ONTARIO ST,Washroom,CITY HALL (MARKET WING WASHROOMS),"{""coordinates"": [-76.480797631675, 44.23007133768634], ""type"": ""Point""}","44.23007133768634,-76.480797631675"
8019,346 COLLEGE ST,Washroom,COMPTON PARK WASHROOM,"{""coordinates"": [-76.51052769789979, 44.23461568872549], ""type"": ""Point""}","44.23461568872549,-76.51052769789979"
7143,100 NAPIER ST,Lawn Bowling,KINGSTON LAWN BOWLING CLUB,"{""coordinates"": [-76.50706657037912, 44.23013270542182], ""type"": ""Point""}","44.23013270542182,-76.50706657037912"
7717,974 SYDENHAM RD,Cemetery,CHRIST CHURCH CEMETERY,"{""coordinates"": [-76.54368842256027, 44.262176199871455], ""type"": ""Point""}","44.262176199871455,-76.54368842256027"
8020,5307 HWY 15,Cemetery,ST. BARNABY'S ROMAN CATHOLIC CEMETERY,"{""coordinates"": [-76.30431103803757, 44.4162174923369], ""type"": ""Point""}","44.4162174923369,-76.30431103803757"
7987,2 OAKRIDGE AVE,Playground,OAKRIDGE PARK PLAYGROUND,"{""coordinates"": [-76.51086296893007, 44.2273104864835], ""type"": ""Point""}","44.2273104864835,-76.51086296893007"
7953,1201 DIVISION ST,Post Office,POST OFFICE (SHOPPERS DRUG MART #0604),"{""coordinates"": [-76.49645616503534, 44.26600138446924], ""type"": ""Point""}","44.26600138446924,-76.49645616503534"
7649,ESCALA CR,Park,WOODHAVEN PARK,"{""coordinates"": [-76.59951092296683, 44.26622601670154], ""type"": ""Point""}","44.26622601670154,-76.59951092296683"
7761,360 KINGSTON MILLS RD,Washroom,MEADOWCREST COMMUNITY CENTRE WASHROOM,"{""coordinates"": [-76.42230847266838, 44.30084043320052], ""type"": ""Point""}","44.30084043320052,-76.42230847266838"
7762,900 HENDERSON BLVD,Washroom,JIM BEATTIE PARK WASHROOM,"{""coordinates"": [-76.58257756107467, 44.228100589880015], ""type"": ""Point""}","44.228100589880015,-76.58257756107467"
8058,2991 2 HWY,Washroom,GRASS CREEK PARK WASHROOM,"{""coordinates"": [-76.31109552892043, 44.29210503524812], ""type"": ""Point""}","44.29210503524812,-76.31109552892043"
8024,291 QUARRY POND CRT,Trail Access,GREENWOOD PARK TRAIL,"{""coordinates"": [-76.45238218113211, 44.26365676099546], ""type"": ""Point""}","44.26365676099546,-76.45238218113211"
7686,5 JORENE DR,Playground,JORENE PARK PLAYGROUND,"{""coordinates"": [-76.57345152645726, 44.2129626961398], ""type"": ""Point""}","44.2129626961398,-76.57345152645726"
7379,76 STUART ST,Queen's University,DIETARY WING,"{""coordinates"": [-76.49300564985961, 44.22391435515557], ""type"": ""Point""}","44.22391435515557,-76.49300564985961"
7961,76 STUART ST,Queen's University,DORAN WING,"{""coordinates"": [-76.4922890416069, 44.224251254856036], ""type"": ""Point""}","44.224251254856036,-76.4922890416069"
7652,1014 CUNNINGHAM RD,Private Recreation Facility,RIDEAU ACRES CAMPGROUND COMPLEX,"{""coordinates"": [-76.42174273275805, 44.30495227008522], ""type"": ""Point""}","44.30495227008522,-76.42174273275805"
7653,860 NORWAY RD,Park,NORWEST PARK,"{""coordinates"": [-76.57699972300614, 44.25742299719543], ""type"": ""Point""}","44.25742299719543,-76.57699972300614"
7468,74 UNIVERSITY AVE,Education Facility,QUEEN'S UNIVERSITY,"{""coordinates"": [-76.49600102031208, 44.226641981845304], ""type"": ""Point""}","44.226641981845304,-76.49600102031208"
7763,100 PORTSMOUTH AVE,Post-Secondary Education,ST. LAWRENCE COLLEGE,"{""coordinates"": [-76.52758345628081, 44.22345604811032], ""type"": ""Point""}","44.22345604811032,-76.52758345628081"
7469,65 RUSSELL ST,Place of Worship,RUSTLE CHURCH,"{""coordinates"": [-76.49031351859276, 44.244614952750794], ""type"": ""Point""}","44.244614952750794,-76.49031351859276"
8060,690 SIR JOHN A. MACDONALD BLVD,Place of Worship,CROSSROADS (ST. MARGARET'S) UNITED CHURCH,"{""coordinates"": [-76.52024939077974, 44.2435151816239], ""type"": ""Point""}","44.2435151816239,-76.52024939077974"
7725,471 CATARAQUI WOODS DR,Retirement Residence,WATERFORD RETIREMENT RESIDENCE,"{""coordinates"": [-76.55828352532919, 44.26903217275068], ""type"": ""Point""}","44.26903217275068,-76.55828352532919"
8025,20 GENERAL CRERAR CRES,Marina,RMC MARINA,"{""coordinates"": [-76.46606675799879, 44.229160354760914], ""type"": ""Point""}","44.229160354760914,-76.46606675799879"
8026,1546 BATTERSEA RD,Parking Lot,MONTREAL ST PARK & RIDE (PARKING LOT),"{""coordinates"": [-76.47211427350902, 44.27917564865914], ""type"": ""Point""}","44.27917564865914,-76.47211427350902"
7145,2931 2 HWY,Park,GRASS CREEK PARK (EXPANSION AREA),"{""coordinates"": [-76.31617160989296, 44.29328565490424], ""type"": ""Point""}","44.29328565490424,-76.31617160989296"
7993,423 ELLIOTT AVE,Playground,KEN MATTHEWS PARK PLAYGROUND 2,"{""coordinates"": [-76.49972684299377, 44.2569284949505], ""type"": ""Point""}","44.2569284949505,-76.49972684299377"
7293,792 HENDERSON BLVD,Tennis Court,HENDERSON PARK TENNIS COURTS,"{""coordinates"": [-76.57885932377972, 44.229009215910565], ""type"": ""Point""}","44.229009215910565,-76.57885932377972"
7891,346 COLLEGE ST,Tennis Court,COMPTON PARK TENNIS COURT,"{""coordinates"": [-76.5107847484249, 44.234970509278654], ""type"": ""Point""}","44.234970509278654,-76.5107847484249"
7893,731 MONTREAL ST,Tennis Court,BELLE PARK TENNIS COURT,"{""coordinates"": [-76.48356195804091, 44.25208002910929], ""type"": ""Point""}","44.25208002910929,-76.48356195804091"
7590,45 NAPIER ST,Tennis Court,KINGSTON TENNIS CLUB,"{""coordinates"": [-76.50605402803716, 44.228318846150444], ""type"": ""Point""}","44.228318846150444,-76.50605402803716"
7296,60 UNION ST,Tennis Court,QUEEN'S UNIVERSITY - MAIN CAMPUS TENNIS COURT,"{""coordinates"": [-76.49357182249769, 44.225079373410054], ""type"": ""Point""}","44.225079373410054,-76.49357182249769"
7591,755 BAYRIDGE DR,Tennis Court,BAYRIDGE PARK TENNIS COURT,"{""coordinates"": [-76.59116031498165, 44.248606427453716], ""type"": ""Point""}","44.248606427453716,-76.59116031498165"
7769,116 CENTRE ST,Place of Worship,BETH ISRAEL CONGREGATION,"{""coordinates"": [-76.50523368274615, 44.225347217263064], ""type"": ""Point""}","44.225347217263064,-76.50523368274615"
7442,4 PASSCHENDALE DR,Heritage Site,FORT FREDERICK,"{""coordinates"": [-76.46949246542992, 44.22772934859252], ""type"": ""Point""}","44.22772934859252,-76.46949246542992"
7728,174 DALTON AV,Trail Access & Parking,K&P DALTON AV ACCESS PNT,"{""coordinates"": [-76.52929345936907, 44.270198698291495], ""type"": ""Point""}","44.270198698291495,-76.52929345936907"
7444,UNITY RD,Trail Access & Parking,K&P UNITY RD ACCESS PNT,"{""coordinates"": [-76.58612547672664, 44.31748547515384], ""type"": ""Point""}","44.31748547515384,-76.58612547672664"
7147,2534 MCIVOR RD,Trail Access & Parking,K&P MCIVOR RD ACCESS PNT,"{""coordinates"": [-76.56111338224785, 44.28676958756239], ""type"": ""Point""}","44.28676958756239,-76.56111338224785"
7994,21 CARLISLE ST,Playground,FRIENDSHIP PARK PLAYGROUND,"{""coordinates"": [-76.49067973212195, 44.23726952803683], ""type"": ""Point""}","44.23726952803683,-76.49067973212195"
7995,2100 UNITY RD,Playground,ELGINBURG PUBLIC SCHOOL PLAYGROUND,"{""coordinates"": [-76.53986667129085, 44.32023280290143], ""type"": ""Point""}","44.32023280290143,-76.53986667129085"
7693,120 NORMAN ROGERS DR,Playground,CENTENNIAL PUBLIC SCHOOL PLAYGROUND 1,"{""coordinates"": [-76.51904311599675, 44.231194174116496], ""type"": ""Point""}","44.231194174116496,-76.51904311599675"
7996,1250 ACADIA DR,Playground,WESTPARK (ACADIA PARK) PLAYGROUND,"{""coordinates"": [-76.59657435956444, 44.23624058642395], ""type"": ""Point""}","44.23624058642395,-76.59657435956444"
7420,1212 WOODBINE RD,Playground,KINGSTON CHRISTIAN SCHOOL PLAYGROUND,"{""coordinates"": [-76.60664796971311, 44.25827125241253], ""type"": ""Point""}","44.25827125241253,-76.60664796971311"
7998,820 SOMERSET CRES,Playground,SUTTON MILLS PARK,"{""coordinates"": [-76.5770995732133, 44.250660010337135], ""type"": ""Point""}","44.250660010337135,-76.5770995732133"
7896,45 NAPIER ST,Tennis Court,KINGSTON TENNIS CLUB,"{""coordinates"": [-76.50622946609084, 44.22831299349007], ""type"": ""Point""}","44.22831299349007,-76.50622946609084"
7593,32 BADER LANE,Queen's University,BAN RIGH CENTRE,"{""coordinates"": [-76.49685254767532, 44.22470918021189], ""type"": ""Point""}","44.22470918021189,-76.49685254767532"
7898,421 UNION ST,Queen's University,DONALD GORDON CENTRE,"{""coordinates"": [-76.50974150370769, 44.2256570787784], ""type"": ""Point""}","44.2256570787784,-76.50974150370769"
7594,182 FRONTENAC ST,Queen's University,GENEVA HOUSE,"{""coordinates"": [-76.4985205857013, 44.22770553178593], ""type"": ""Point""}","44.22770553178593,-76.4985205857013"
7178,2245 BATTERSEA RD,Place of Worship,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,"{""coordinates"": [-76.46332039209918, 44.320966545507716], ""type"": ""Point""}","44.320966545507716,-76.46332039209918"
7475,1575 WOODBINE RD,Place of Worship,KINGSTON WEST FREE METHODIST CHURCH,"{""coordinates"": [-76.63103079876898, 44.25681401368856], ""type"": ""Point""}","44.25681401368856,-76.63103079876898"
7476,2900 PRINCESS ST,Place of Worship,PILGRIM HOLINESS CHURCH,"{""coordinates"": [-76.589434003012, 44.2620563157043], ""type"": ""Point""}","44.2620563157043,-76.589434003012"
7478,5307 15 HWY,Place of Worship,ST. BARNABY'S CHURCH,"{""coordinates"": [-76.30431103803757, 44.4162174923369], ""type"": ""Point""}","44.4162174923369,-76.30431103803757"
7772,263 VICTORIA ST,Place of Worship,ST. MARK'S LUTHERAN CHURCH,"{""coordinates"": [-76.50230841046903, 44.22943306103977], ""type"": ""Point""}","44.22943306103977,-76.50230841046903"
7424,225 ONTARIO ST,Fountain,CONFEDERATION FOUNTAIN,"{""coordinates"": [-76.47974405440002, 44.22954574908647], ""type"": ""Point""}","44.22954574908647,-76.47974405440002"
8002,1 LAPPAN'S LN,Baseball Field,NOVELIS INC.,"{""coordinates"": [-76.50998627763188, 44.24267444695473], ""type"": ""Point""}","44.24267444695473,-76.50998627763188"
7427,70 CRAFTSMAN BLVD,Baseball Field,CFB HOSPITAL BASEBALL FIELD,"{""coordinates"": [-76.45520488667268, 44.24929820317807], ""type"": ""Point""}","44.24929820317807,-76.45520488667268"
8003,755 BAYRIDGE DR,Baseball Field,BAYRIDGE PARK BASEBALL FIELD,"{""coordinates"": [-76.59129781605172, 44.248149834833534], ""type"": ""Point""}","44.248149834833534,-76.59129781605172"
7598,74 UNIVERSITY AVE,Queen's University,RICHARDSON HALL,"{""coordinates"": [-76.49616841022419, 44.22685950982937], ""type"": ""Point""}","44.22685950982937,-76.49616841022419"
7306,39 BADER LANE,Queen's University,HARRISON-LECAINE HALL,"{""coordinates"": [-76.4968987713264, 44.22534478684063], ""type"": ""Point""}","44.22534478684063,-76.4968987713264"
7180,392 PALACE RD,Place of Worship,ST. JOSEPH'S CATHOLIC CHURCH,"{""coordinates"": [-76.51500844162044, 44.2366584925243], ""type"": ""Point""}","44.2366584925243,-76.51500844162044"
8066,157 JOSEPH ST,Place of Worship,BIBLE BAPTIST CHURCH,"{""coordinates"": [-76.49471428739096, 44.24503262417547], ""type"": ""Point""}","44.24503262417547,-76.49471428739096"
7617,221 QUEEN ST,Place of Worship,QUEEN STREET UNITED CHURCH (closed),"{""coordinates"": [-76.48827035831961, 44.23366000772059], ""type"": ""Point""}","44.23366000772059,-76.48827035831961"
7324,2 KING ST W,Museum,MURNEY TOWER NATIONAL HISTORIC SITE (MUSEUM),"{""coordinates"": [-76.4904195345981, 44.22230733982217], ""type"": ""Point""}","44.22230733982217,-76.4904195345981"
7445,863 PRINCESS ST SUITE 301,Radio Station,COUNTRY 93.5 FM,"{""coordinates"": [-76.50969124531508, 44.2407003056043], ""type"": ""Point""}","44.2407003056043,-76.50969124531508"
7730,993 PRINCESS ST SUITE 10,Radio Station,CKLC-FM 98.9 PURE COUNTRY,"{""coordinates"": [-76.51337501331302, 44.24373874622699], ""type"": ""Point""}","44.24373874622699,-76.51337501331302"
8030,863 PRINCESS ST SUITE 301,Radio Station,KISS 102.7 FM,"{""coordinates"": [-76.5097561639623, 44.24060809089614], ""type"": ""Point""}","44.24060809089614,-76.5097561639623"
7428,32 ADELAIDE ST,Baseball Field,FRONTENAC SCHOOL PARKETTE BASEBALL FIELD 1,"{""coordinates"": [-76.49302322278803, 44.24048318324649], ""type"": ""Point""}","44.24048318324649,-76.49302322278803"
7701,4075 BATH RD,Baseball Field,COLLINS BAY PUBLIC SCHOOL BASEBALL FIELD 2,"{""coordinates"": [-76.6121707771409, 44.2421281956672], ""type"": ""Point""}","44.2421281956672,-76.6121707771409"
8005,1180 WOODBINE RD,Baseball Field,WOODBINE PARK BASEBALL FIELD 2,"{""coordinates"": [-76.60411751810973, 44.25988660788306], ""type"": ""Point""}","44.25988660788306,-76.60411751810973"
7429,1180 WOODBINE RD,Baseball Field,WOODBINE PARK BASEBALL FIELD 3,"{""coordinates"": [-76.60535659950546, 44.25947486468286], ""type"": ""Point""}","44.25947486468286,-76.60535659950546"
